date	actual_mean_temp	actual_min_temp	actual_max_temp	average_min_temp	average_max_temp	record_min_temp	record_max_temp	record_min_temp_year	record_max_temp_year	actual_precipitation	average_precipitation	record_precipitation
01-07-2014	77	60	94	54	73	45	94	1948	2014	0	0.03	0.75
02-07-2014	70	58	81	54	73	43	93	1954	2015	0	0.03	0.5
03-07-2014	64	57	71	54	74	44	92	1954	2015	0	0.03	0.47
04-07-2014	66	57	75	54	74	43	92	1949	2015	0	0.03	0.57
05-07-2014	66	56	76	55	74	47	91	1951	1958	0	0.03	0.64
06-07-2014	72	59	84	55	74	45	94	1949	1960	0	0.03	0.44
07-07-2014	73	64	81	55	74	47	90	1955	2010	0	0.03	0.58
08-07-2014	73	60	86	55	75	47	95	1950	2010	0	0.03	0.8
09-07-2014	69	57	80	55	75	48	93	1960	2010	0	0.02	0.81
10-07-2014	70	55	84	55	75	46	90	1960	1945	0	0.03	0.38
11-07-2014	74	59	88	55	75	49	98	1960	2007	0	0.03	0.25
